scientificname,sources,n_rows,status,taxonomy_provenance,pre_resolved_kingdom,resolved_kingdom,pre_resolved_phylum,resolved_phylum,pre_resolved_class,resolved_class,pre_resolved_order,resolved_order,pre_resolved_family,resolved_family,pre_resolved_genus,resolved_genus,source_taxonomy_kingdom,source_taxonomy_phylum,source_taxonomy_class,source_taxonomy_order,source_taxonomy_family,source_taxonomy_genus
Nais sp.,wqbench,12,unresolved,source_native_fallback,NA,Animalia,NA,Annelida,NA,Oligochaeta,NA,Haplotaxida,NA,Naididae,NA,Nais,Animalia,Annelida,Oligochaeta,Haplotaxida,Naididae,Nais
Hydrophilus sp.,wqbench,8,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Coleoptera,NA,Hydrophilidae,NA,Hydrophilus,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Hydrophilus
Nepa sp.,wqbench,8,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Heteroptera,NA,Nepidae,NA,Nepa,Animalia,Arthropoda,Insecta,Heteroptera,Nepidae,Nepa
Chauliodes sp.,wqbench,7,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Megaloptera,NA,Corydalidae,NA,Chauliodes,Animalia,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodes
Neanthes grubei,envirotox,7,unresolved,source_native_fallback,NA,Animalia,NA,Annelida,NA,Polychaeta,NA,Aciculata,NA,Nereididae,NA,NA,Animalia,Annelida,Polychaeta,Aciculata,Nereididae,NA
Ephemerella sp,"anztox,envirotox",6,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Ephemeroptera,NA,Ephemerellidae,NA,NA,Animalia,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,NA
Oreochromis aureus x niloticus,wqbench,6,unresolved,source_native_fallback,NA,Animalia,NA,Chordata,NA,Actinopterygii,NA,Perciformes,NA,Cichlidae,NA,Oreochromis,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis
Chauliodes sp,envirotox,5,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Megaloptera,NA,Corydalidae,NA,NA,Animalia,Arthropoda,Insecta,Megaloptera,Corydalidae,NA
Enallagma sp,"anztox,envirotox",5,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Odonata,NA,Coenagrionidae,NA,NA,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,NA
Oncorhynchus salar,envirotox,5,unresolved,source_native_fallback,NA,Animalia,NA,Chordata,NA,Actinopterygii,NA,Salmoniformes,NA,Salmonidae,NA,NA,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,NA
-,anztox,4,unresolved,no_taxonomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorophycota,anztox,4,unresolved,no_taxonomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyanophycota,anztox,4,unresolved,no_taxonomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Invertebrates,anztox,4,unresolved,no_taxonomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nepa sp,"anztox,envirotox",4,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Hemiptera,NA,Nepidae,NA,NA,Animalia,Arthropoda,Insecta,Hemiptera,Nepidae,NA
Oncorhynchus trutta,envirotox,4,unresolved,source_native_fallback,NA,Animalia,NA,Chordata,NA,Actinopterygii,NA,Salmoniformes,NA,Salmonidae,NA,NA,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,NA
Paphia laterisulca,"envirotox,wqbench",4,unresolved,source_native_fallback,NA,Animalia,NA,Mollusca,NA,Bivalvia,NA,Veneroida,NA,Veneridae,NA,Paphia,Animalia,Mollusca,Bivalvia,Veneroida,Veneridae,Paphia
Cpannonicus,anztox,3,unresolved,no_taxonomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrophilus sp,envirotox,3,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Coleoptera,NA,Hydrophilidae,NA,NA,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,NA
Algae,anztox,2,unresolved,no_taxonomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capnia sp.,wqbench,2,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Plecoptera,NA,Capniidae,NA,Capnia,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Capnia
Illybius angustior,wqbench,2,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Coleoptera,NA,Dytiscidae,NA,Illybius,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Illybius
Morone saxatilis ssp. x chrysops,envirotox,2,unresolved,source_native_fallback,NA,Animalia,NA,Chordata,NA,Actinopterygii,NA,Perciformes,NA,Moronidae,NA,NA,Animalia,Chordata,Actinopterygii,Perciformes,Moronidae,NA
Nassula variabilis,wqbench,2,unresolved,source_native_fallback,NA,Animalia,NA,Ciliophora,NA,Nassophorea,NA,Nassulida,NA,Nassulidae,NA,Nassula,Animalia,Ciliophora,Nassophorea,Nassulida,Nassulidae,Nassula
Tanypus bilobatus,"envirotox,wqbench",2,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Diptera,NA,Chironomidae,NA,Tanypus,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Tanypus
Triogoma sp.,anztox,2,unresolved,no_taxonomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlamydomanas - Strain CC125,anztox,1,unresolved,source_native_fallback,NA,Plantae,NA,Chlorophyta,NA,Chlorophyceae,NA,NA,NA,NA,NA,NA,Plantae,Chlorophyta,Chlorophyceae,NA,NA,NA
Chlamydomanas - Strain CC1373,anztox,1,unresolved,source_native_fallback,NA,Plantae,NA,Chlorophyta,NA,Chlorophyceae,NA,NA,NA,NA,NA,NA,Plantae,Chlorophyta,Chlorophyceae,NA,NA,NA
Chlamydomanas - Strain CC2290,anztox,1,unresolved,source_native_fallback,NA,Plantae,NA,Chlorophyta,NA,Chlorophyceae,NA,NA,NA,NA,NA,NA,Plantae,Chlorophyta,Chlorophyceae,NA,NA,NA
Chlamydomanas - Strain CC2342,anztox,1,unresolved,source_native_fallback,NA,Plantae,NA,Chlorophyta,NA,Chlorophyceae,NA,NA,NA,NA,NA,NA,Plantae,Chlorophyta,Chlorophyceae,NA,NA,NA
Chlamydomanas - Strain CC2343,anztox,1,unresolved,source_native_fallback,NA,Plantae,NA,Chlorophyta,NA,Chlorophyceae,NA,NA,NA,NA,NA,NA,Plantae,Chlorophyta,Chlorophyceae,NA,NA,NA
Chlamydomanas - Strain CC2344,anztox,1,unresolved,source_native_fallback,NA,Plantae,NA,Chlorophyta,NA,Chlorophyceae,NA,NA,NA,NA,NA,NA,Plantae,Chlorophyta,Chlorophyceae,NA,NA,NA
Chlamydomanas - Strain CC2931,anztox,1,unresolved,source_native_fallback,NA,Plantae,NA,Chlorophyta,NA,Chlorophyceae,NA,NA,NA,NA,NA,NA,Plantae,Chlorophyta,Chlorophyceae,NA,NA,NA
Chlamydomanas - Strain CC2935,anztox,1,unresolved,source_native_fallback,NA,Plantae,NA,Chlorophyta,NA,Chlorophyceae,NA,NA,NA,NA,NA,NA,Plantae,Chlorophyta,Chlorophyceae,NA,NA,NA
Ensimulium sp.,anztox,1,unresolved,no_taxonomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lebistes gibbosus,anztox,1,unresolved,no_taxonomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mansonia sp.,wqbench,1,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Diptera,NA,Culicidae,NA,Mansonia,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Mansonia
Micropterus sp,envirotox,1,unresolved,source_native_fallback,NA,Animalia,NA,Chordata,NA,Actinopterygii,NA,Perciformes,NA,Centrarchidae,NA,NA,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,NA
Micropterus sp.,wqbench,1,unresolved,source_native_fallback,NA,Animalia,NA,Chordata,NA,Actinopterygii,NA,Perciformes,NA,Centrarchidae,NA,Micropterus,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus
N. humilis,anztox,1,unresolved,no_taxonomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreochromis mossambicus X niloticus,wqbench,1,unresolved,source_native_fallback,NA,Animalia,NA,Chordata,NA,Actinopterygii,NA,Perciformes,NA,Cichlidae,NA,Oreochromis,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis
Oreochromis mossambicus X urolepis,wqbench,1,unresolved,source_native_fallback,NA,Animalia,NA,Chordata,NA,Actinopterygii,NA,Perciformes,NA,Cichlidae,NA,Oreochromis,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis
Orthotrichia sp.,wqbench,1,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Trichoptera,NA,Hydroptilidae,NA,Orthotrichia,Animalia,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Orthotrichia
Oxcillatoria spp.,anztox,1,unresolved,no_taxonomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Periphyton,anztox,1,unresolved,no_taxonomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhyacophila sp.,wqbench,1,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Trichoptera,NA,Rhyacophilidae,NA,Rhyacophila,Animalia,Arthropoda,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila
Sialis flavilatera,anztox,1,unresolved,manual_genus_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Megaloptera,NA,Sialidae,NA,Sialis,NA,NA,NA,NA,NA,NA
Stenonema sp,envirotox,1,unresolved,source_native_fallback,NA,Animalia,NA,Arthropoda,NA,Insecta,NA,Ephemeroptera,NA,Heptageniidae,NA,NA,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,NA
Synechococcus ep. S24,anztox,1,unresolved,source_native_fallback,NA,Bacteria,NA,Cyanobacteria,NA,Cyanophyceae,NA,NA,NA,NA,NA,NA,Bacteria,Cyanobacteria,Cyanophyceae,NA,NA,NA
